Period,Topic_ID,Topic_Name,Count,Percentage
1 (2020-06-26 to 2020-09-26),0,0_indonesia_bukan_jokowi_presiden prabowo,2,100.0
2 (2025-06-26 to 2025-09-26),8,8_pangan_ketahanan pangan_cita presiden_bergizi gratis,1,100.0
3 (2025-09-26 to 2025-12-26),0,0_indonesia_bukan_jokowi_presiden prabowo,1993,43.5
3 (2025-09-26 to 2025-12-26),1,1_kerja_pulang kerja_kerja kerja_besok,447,9.8
3 (2025-09-26 to 2025-12-26),2,2_prabowo bangun_rekonstruksi pascabencana_rekonstruksi_bangun rekonstruksi,414,9.0
3 (2025-09-26 to 2025-12-26),3,3_prabowo pulihkan_bangkit pasca_pulihkan infrastruktur_pasca bencana,239,5.2
3 (2025-09-26 to 2025-12-26),4,4_memulihkan warga_warga terdampak_bencana_korban bencana,139,3.0
3 (2025-09-26 to 2025-12-26),5,5_sumatera_bencana sumatera_korban bencana_warga terdampak,123,2.7
3 (2025-09-26 to 2025-12-26),6,6_hutan_lingkungan_kayu_presiden prabowo,110,2.4
3 (2025-09-26 to 2025-12-26),7,7_ijazah_joko widodo_polda metro_ijazah palsu,78,1.7
3 (2025-09-26 to 2025-12-26),8,8_pangan_ketahanan pangan_cita presiden_bergizi gratis,74,1.6
4 (2025-12-26 to 2026-03-26),0,0_indonesia_bukan_jokowi_presiden prabowo,9,45.0
4 (2025-12-26 to 2026-03-26),4,4_memulihkan warga_warga terdampak_bencana_korban bencana,2,10.0
4 (2025-12-26 to 2026-03-26),1,1_kerja_pulang kerja_kerja kerja_besok,2,10.0
4 (2025-12-26 to 2026-03-26),8,8_pangan_ketahanan pangan_cita presiden_bergizi gratis,1,5.0
